"FUNDING AGENCY","BOROUGH","PROGRAM TYPE","Status","DEVELOPMENT","ADDRESS","SPONSOR","Postcode","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA"
"DYCD","Bronx","Community Center - Cornerstone","Occupied","Sotomayor Houses","1000 Rosedale Avenue","Phipps Community Development","10472","40.825259","-73.867705","209","18","44","2123862","2037250001","BX0901"
,"Bronx",,"Vacant","Forest","1005 Tinton Avenue","Vacant","10456","40.824078","-73.902585","203","17","133","2091962","2026390001","BX0301"
,"Bronx",,"Vacant","College Ave - East 165th Street","1020 College Avenue","Vacant","10456","40.82904","-73.915532","204","16","175","2002209","2024330001","BX0401"
"OTHER","Bronx","Community Center","Occupied","1010 East 178th Street","1030 East 178th Street","Phipps Community Development","10460","40.841154","-73.879864","206","15","361","2013245","2031300100","BX0601"
,"Bronx",,"Vacant","Boynton Avenue Rehab","1057 Boynton Avenue","Vacant","10472","40.825364","-73.877478","209","18","5001","2023475","2037140036","BX0901"
,"Bronx",,"Vacant","Claremont Rehab (Group 3)","1105 Teller Avenue - community room","Vacant",,,,,,,,,
"AGING","Bronx","Senior Center","Occupied","Highbridge Gardens","1145 University Avenue","Presbyterian Senior Services","10452","40.837077","-73.928282","204","16","193","2095219","2025270032","BX0402"
"DYCD","Bronx","Community Center - Cornerstone","Occupied","Highbridge Gardens","1155 University Avenue","Catholic Charities Community Services Archdiocese of NY","10452","40.837137","-73.928221","204","16","193","2095219","2025270032","BX0402"
,"Bronx",,"Vacant","1162 - 1176 Washington Avenue","1162 Washington Avenue","Vacant","10456","40.82986","-73.90769","203","16","145","2001312","2023720001","BX0302"
"Unknown","Bronx","Unknown","Occupied","Davidson","1221 Prospect Avenue","SOBRO (South Bronx Overall Economic Dev. Corp)","10459","40.827264","-73.898476","203","17","131","2005038","2026800019","BX0202"
